原始文本	情绪化推理	以偏概全	乱贴标签	读心术	先知错误	非此即彼	应该句式	放大	罪责归己	心理过滤	否定正面思考	罪责归他	悲观情绪	比较与绝望	对比
missing my ex boyfriend	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I submitted my application, but I already know they won't call me back for an interview.	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
I saw my friend comment on an Instagram post when he's been ignoring me. My friend doesn't like me anymore.	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
I made a mistake, therefore I'm a failure	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
afraid something i did will hurt me	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
I'm late for the meeting. I never do anything right	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
I shouldn't eat that doughnut	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
I'll never get this done	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Everyone knows how disorganized and selfish I am	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
If I did not have friends, I would be lonely	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Getting good marks was a fluke. It doesn't count	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
everyone hates me, including me	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
The guy I'm dating went home early one night and I got upset because I thought it meant he didn't want to see me anymore, but I was wrong. I guess he doesn't like me anymore	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0
He's horrible	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
She will not want to see me again	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
My husband left me because I was a bad wife	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
My boss complimented me but they are just being nice	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
I am trying to help my son pay his bills and find a job. He does not appreciate anything I do for him.	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0
I showed a new game idea I have to some friends I have in a chat room we all have together, but only 2 of them responded. My friends aren't interested in my game idea	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0
I bet people think now that I am a rubbish artist	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
I'll never manage to stand up for myself. I never have	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
At work I was frustrated after a meeting because I was told a certain amount of documents had to be indexed that week. I had a lot of other tasks and I started frantically naming them off. I was not expected to be indexing the full collection of documents like I thought I was so I was later embarassed I had acted so frustrated and snappy. I thought I was being taken advantage of.	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0
I got a parking ticket because my sister forgot to register for overnight parking in front of my house. I am responsible for her mistakes.	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
My husband wants a divorce, I've self isolated for years, my brother died Worthlessness, abandonment, grief	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
I had a huge fight with my friend and I love her so much and I called her fat and ugly and I didn't mean to, is there a condition for something like this I'm being mean to someone I love	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Depression that started a few years ago Suicidal thoughts	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
My friend and I were looking at apartments. His first choice for apartments was one that was too small for my life goals, as I could not set up an office in it. He wanted the better room in the apartment. He only cares about himself.	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
I must be really stupid to have these distorted thoughts	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
If she has cheated on me, then every next girl will probably do the same	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
I'm late for the meeting I never do anything right	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
my phyical appearance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I always do lousy on tests	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
health concerns, financial insecurity, living independently again	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I will die	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
I am unlovable	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
She must think that I am a weirdo	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
My parents caused all my problems	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
I applied for a new part-time position and took the qualifying exam but didn't pass because they  changed some of the guidelines for the job. They warned us beforehand that this may happen in the hiring process. I thought that I should have studied harder. If I knew enough information I would pass no matter how the standards changed. It was my fault I didn't try hard enough and was furious with myself	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
I was not paying attention and scratched someone's car while driving I am will have to pay for this	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
I was so irritable with the children this morning. I'm a terrible mother and a wicked person	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
I had tentative plans to get together with friends last week, but they never got back to me. they don't really like me	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
You only pay attention to me when I cook food	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
I know this is bad because I feel bored	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
My sister looking amazing and me looking heinous, people at school being toxic Suicidal thoughts, cutting, depression(I think), wanting to die sometimes, having mental/emotional break downs at least three times per week ,being lonely despite being surrounded by people,hating my body/appearance, acts of suicide eg: holding a knife up to my chest and slicing my throat lightly with scissors or knife, comparing myself to others in a really toxic and non realistic way.	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0
I have been trying a number of diets. This week I weighed myself and found out I had gained a pound I am trying to lose weight but nothing works	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
I had a disagreement about our finances with my partner at our home about a week ago that caused her to leave the apartment and not talk, call, or text me for hours. I worried that she might break up with me and that I'd never see her again.	0	1	0	1	1	1	0	1	0	0	0	0	1	0	0
My son threw a tantrum at an indoor playground and I had to carry him out kicking and screaming I'm a bad mom	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
I lost my house I want to die	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
I'm facing an issue, that I love you girlfriend and she loves me back. But I hurt her because I'm manipulative, without really realizing what I'm doing. I make her feel guilty of things that she shouldn't feel so, and if I don't get things my way, I manipulate it so it sounds like it's her fault or she is wrong. I don't do it voluntarily, but I do it too often and it hurts her and me. I am manipulative	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
I was planning a bachelor party for a friend and some of the people invited were not satisfied with what I was trying to plan. Why can't they cooperate on this?	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0
I tried a new hair style but no one commented on it I shouldn't have changed my hair	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
I felt awkward during my job interview. I am always so awkward	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
I feel like a bad friend, therefore I must be a bad friend	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I should have behaved differently	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
People around me do not need my presence I'm worthless	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
My neighbor rushed by me and didn't even acknowledge me. I must have done something wrong	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
I shouldn't have eaten that	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
I will fail and it will be unbearable	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
i don't want to fail my board exam again	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I don't think I can get all my work done today	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
I stayed up for too long, and engaged in behaviors that, while not unethical, were physically taxing and brought me shame. I hate myself.	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
__'m a bad person. I only help others because it makes me feel better about myself	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
This person is not my boss and is not even providing accurate information! Why are they acting like this?	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
I must make a good impression at this party	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
I really don't know I will go crazy if I don't control my racing thoughts	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A few days ago, I got angry at my husband's grandmother who lives next door for beeping her horn till I came out of the house and asking me to come to dinner. She doesn't respect me.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
I posted a joke online and none of my friends reacted Maybe my friends found the joke offensive, I'll lose some friends because of this	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
I got a B. This proves how inferior I am	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
My brother should have talked to me before he made any decisions about where our family is going	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
We are not making enough progress on our group project This project is a failure because of John	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
I am under appreciated at work Self worth	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
I tried to make friends with people but they kept ignoring me. I am not interesting	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0
My friends are not replying to my messages. They obviously don't want to be friends with me	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
I was looking forward to relaxing but my partner asked me to make dinner instead. My partner thinks I am lazy.	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
I posted a joke online but none of my friends reacted. I will lose my friends because of this	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
I'm late for the meeting. This shows what a jerk I am	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
I just feel unmotivated I just can't get moving	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Once I was unemployed because I had many faults at work Having done things wrong	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0
I won't get the job	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
I was at my Moms house today and we were talking about my job. She was shocked that I had been there for more than a decade. She felt that it wasn't a good enough job. We were talking in the living room. She gasped as if that was insane. My job is worthless	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
I hate my life Killing myself	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
I was at work and sent info for an ad to our local newspaper. They called me later and said my boss had over-ridden everything and sent them new info. He shouldn't assign me a task if he doesn't trust my work.	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
I hurt my family members by telling them to postpone their long-planned trip to visit me because I was too busy I am selfish	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
I've been applying for jobs and just got a call that someone else filled a position I applied for. I might never get hired.	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
The birds are always crapping on my window	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
I don't work. I rely heavily on my partner, I'm so easily scared I am a burden.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Fired for not meeting quota as a salesman. I can't pay my bills.	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
I run a business with my close friend and we were taking work-related photos at their house. I took the memory card home but lost it while I was walking. My friend is going to be angry with me	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
my neighbors downstairs were having a party, and would not be quiet so i had to call the police and not get any sleep before work I am being disrespected	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0
I've blown my diet completely	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
It's usually after I come home from work and having felt a lot of social anxiety I want to comfort myself with sugar. It's like a great relief and the only happy point in my day. I have a constant need to eat an excessive amount of sugary sweets/desserts. When I try to eat more healthily for a period of time the need is always worse when I fall back into old unhealthy patterns. Eating balanced feels impossible.	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
I'm a loser	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
I should really exercise more	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
I was unable to visit my Mother in the hospital in another state. I am the worst daughter in the world.	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
I'm always a horrible mother	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
parents are a thing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I will end up with no career	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
My mom is always upset. She would be fine if I did more to help her	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Threw a conniption when unable to complete an Amigurumi project for my niece. I am unable to do this simply damned thing.	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
My inabilities cost me my job. I would not find a job	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
Just being alive. Living is boring and not worth it. Nothing makes me happy or has ever done so. If only i was more selfish i could end it. Doing basic tasks without the threat of making my life even worse is a struggle.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
i am a ghost. i am dead.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grandma is going to be so angry with me	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
I did a poor job organizing a meeting, but it turned out to not be a big deal. I am not a good project manager.	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0
A friend of mine was pressuring me to see a movie I didn't want to see.  I tried to sheepishly get out of it but did not want to disappoint him so I just sort of agreed when I didn't want to do it.  So I ended up being miserable for two hours watching a movie I did not enjoy. I am miserable because I have such a hard time saying no.	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0
I'll have to skip this section of the book	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Meeting an old friend, that I hadn't seen in two decades for lunch. what if i have nothing to say, what if we don't click anymore, what if this goes badly.	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
I should do well	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
I am single and isolated im unlovable	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
What if the whole kitchen sets on fire	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
I seem to fail at everything	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
The test makes me nervous, so I won't do well on it	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
it's so hard to do school work, get out of bed, care for myself, and eat I'm so exhausted	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
I get thoughts that make me do crazy things but they__e actually somewhat logical and I doubt if I should resist them at all I will go crazy if I don't control my racing thoughts	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
felling like here but not	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I was raped, abused and in pain I want to cease to exist as I am because I am emotionally and physically burnt out	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
I had a complaint against my work which I felt unnecessary to bring to my attention as it was very minor. There was no need to even say anything it was very minor.	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
My wife sat me down and said she needed me to make more money because she is tired of paying rent by herself i was letting her down and she felt pressured by my actions	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
I got into a minor car crash. I messed up big time.	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
My boss pointed out an unintentional error in my work. I am incapable of doing anything right.	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0
She is probably going to kick me out and never invite me over again	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
I should have ordered a milder dish	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
my partner left me	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I'm afraid of pregnancy and I think i'm not mentally or emotionally prepared I can't be a mother	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
I missed the submission deadline My efforts are wasted	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
I am trying to write up an essay and can't think of anything I'm wasting all my time	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
I made very good English presentation but I got nervous because of the amount of people and I forgot my text I'm scared to present in front of other people and I panic	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0
I get rejected by everyone	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
She's irrelevant	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
I failed to turn in my planned event calendar by the due date. I forgot something important. Again. My boss is going to kill me.	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Because I lost the elections, I'm a zero	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
I try to talk to a stranger at a party and they seem disinterested and walk away from me I'm boring	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
I am walking down the street in a new red jeans and a stranger looked at the jeans I should have never worn these jeans and stick to blue ones	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
All of my relationship attempts have ended in failure I feel like I will never be loved in a romantic way because I am not very pretty	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
I did badly in a writing contest I entered. I did not final. I am a bad writer.	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
My husband and his friends are always speaking Spanish in front of me and I cannot understand anything they are saying things in front of me that they don't want me to know or understand	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0
Nobody finds me attractive other then my boyfriend I am ugly	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Don't have a job I'm a failure	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
She doesn't like the way I look	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Recent rape, prior trauma, isolation, boredom, loneliness, feeling abandoned and so alone I can't get through this	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Someone started a rumor that I'd been banned from an online community when in fact I hadn't. Many people chose to attack my character and one person called me a bully. When I dispelled the rumor and defended myself I was denied an opportunity to defend myself and insulted further. I am a bad person.	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
My daughter lied to me about a photo on her phone because she was embarrassed she doesnt want to share things with me	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
My entire house will burn down	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
The recruiters didn't call me. I haven't got the job, in the past when I was successful, I was called straight away	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
My friends are not talking to me. It must be my fault	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Last week, my co-worker was invited to participate in a workshop and I was not. My co-worker is better than me.	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
feeling unworthy	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
She probably thinks I'm ugly	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
My relationship ended out of nowhere, constantly stressed about my job, i ever feel like be worth it to another person or to my friends unless they need something. I don__ feel like I__ worth it.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
I'm never going to get a date	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
turning my mind off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I missed a personal deadline for a project a friend asked me to help with. I made a deadline and missed it.	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
I cant work out what my real personality is because my opinions and moods change all the time and Its like I change into different personalities kind of but its not different conciousmesses its just i dont know how to explain it but I think im insane because I dont know much about who I am because who I am changes and it can change very fast, is this normal? i have no stable identity and I dont know why or if its normal	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
i am feeling lonely	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
keeping a good relationship with my son	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Worry about ability to survive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
we don't have money	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Everyone is mean to me I hate everyone	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
i feel bad	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I got excessively angry at my friend for sending stupid pictures of me to a mutual friend. I felt betrayed and that was extreme Why did I overact like this	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
I feel sad, therefore I must be depressed	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
i cant sleep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Being transgender I'm not who I want to be. I hate my appearance and my voice.	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
I never say the right thing	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
I am alone none understands Can not move have so much to do mind numb	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
I'll make a fool of myself	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
school and my future	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I need a change of pace	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
i'm so weak, helpless and out of control	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
I think that I am fatter that everyone else but i am not I feel fat even though I have a strong build and I run alot	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0
I will be homeless	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
If there aren't many people there, the party simply can't be a success	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
I must have never worn these jeans	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
My boss pointed out an unintentional error in my work This work is a failure	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
They are boring	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
